Duration (in seconds),Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
724,Missouri,,,,"corn, wheat, soybeans",cotton,cotton,Neutral,Neutral,Neutral,,Blackberries,,,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),I have never heard of this until now,Neutral,,,Checking for ticks after spending time outdoors,,,,,8,Distrust,Neutral,Neutral,Neutral,Distrust,Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",1,Catholic,61,10,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2pJGrTKbLINQs8CqQ9CJcl,29,,724,anonymous,Value will be set from Panel or URL,on,White
1932,Tennessee,,,Shelby,chicken,eggs,oranges,Strongly Agree,Strongly Agree,Strongly Agree,,Blackberries,,,,,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,Social Media,,,,,Somewhat Concerned,,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Strongly Trust,Trust,Trust,Neutral,Strongly Trust,Strongly Trust,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",3,Catholic,200,90,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3MDmrZYJphPrOdyCtJJq34,29,,1932,anonymous,Value will be set from Panel or URL,on,Black/AA
299,Arkansas,,,,"Rice, soy bean, corn, okra, tomato","Rice, soy bean, corn, okra, tomato",Idk,Strongly Disagree,Strongly Disagree,Neutral,,,,,,,,,,,,,,None of the above,"Yes, I had heard of Alpha-gal syndrome.",,,,,,Friends or Family,,,Not Concerned at all,,,,,,Other (Please Specify),Not taking precautions ,10,Strongly Distrust,Strongly Distrust,Strongly Distrust,Strongly Distrust,Strongly Distrust,Strongly Distrust,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,Not religious,49,35,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3gP6g3y15xgmybS1waIWW0,29,,299,anonymous,Value will be set from Panel or URL,on,White
359,Tennessee,,,Montgomery,None,Not sure,Peaches,Disagree,Neutral,Strongly Disagree,Pecans,,,,,,,,,,,,,,"No, I have never heard of this before.","Medical professionals (Doctor, Nurse, etc.)",,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,0,Distrust,Strongly Distrust,Strongly Distrust,Distrust,Strongly Distrust,Strongly Distrust,18 - 24,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",6,None of the above or other,140,111,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2TYUzqlmmNStm9onms2wlm,29,,359,anonymous,Value will be set from Panel or URL,on,White
345,Tennessee,,,Cheatham,Soybeans ,Corn,Apple,Agree,Agree,Agree,,Blackberries,,,,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Not Very Concerned,,,Checking for ticks after spending time outdoors,,,,,8,Trust,Trust,Trust,Trust,Trust,Trust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,115,135,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,65a8E4gj6iypQO0fpjkiO7,29,,345,anonymous,Value will be set from Panel or URL,on,White
994,Tennessee,,,Gibson,"Corn, Soy Beans, Sweet Potatoes, Sun Flowers","Corn, Sotly Beans, Chicken, Pork",Beef,Agree,Agree,Agree,Pecans,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,,,Friends or Family,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,8,Trust,Strongly Trust,Trust,Trust,Trust,Neutral,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",,Catholic,114,37,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,Farmers market,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,50qjWnMbeRm13KAFkeCk3R,29,,994,anonymous,Value will be set from Panel or URL,on,White
533,Tennessee,,,Fayette,Ramps,Pecans ,Wild nut,Agree,Agree,Agree,Pecans,Blackberries,Ramps,,Pawpaws,,Persimmons,Mushrooms,Sassafras,,Wild Nuts,,Wild Herbs,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",,,,,Friends or Family,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,5,Trust,Trust,Trust,Trust,Trust,Trust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",4,Catholic,88,34,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6IO7dVsfWsSqx3LxuNiGJE,29,,533,anonymous,Value will be set from Panel or URL,on,White
225,Tennessee,,,White,Rice,Beans,Potatos,Agree,Agree,Agree,,,,,Pawpaws,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,"Educational Institutions (Schools, Colleges, etc.)",,Community Programs or Workshops,,,,Neutral,,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,5,Neutral,Trust,Trust,Trust,Trust,Trust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",4,Muslim,102,112,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)",,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0GUf79d2ryuLEhvbgBSdPX,29,,225,anonymous,Value will be set from Panel or URL,on,White
153,Louisiana,Bossier,,,Crawfish ,Corn ,Grapes ,Neutral,Neutral,Neutral,,,Ramps,,,,,,,,,,,,"No, I have never heard of this before.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Neutral,,,Checking for ticks after spending time outdoors,,,,,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,18 - 24,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",3,None of the above or other,50,50,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,,,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3DsbIi9wvBQrweyE8xLEgO,29,,153,anonymous,Value will be set from Panel or URL,on,Black/AA
636,Tennessee,,,Anderson,corn     sorghum   grapes,corn   sorghum  rice  sugar,corn   sorghum   grapes   rice,Agree,Agree,Agree,,Blackberries,,Muscadine Grapes,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,,,,,,Neutral,,,Checking for ticks after spending time outdoors,,,,,5,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Trust,Neutral,75 - 84,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,Protestant,151,60,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,46KOXuSwJyx7dXRGuhxIpQ,29,,636,anonymous,Value will be set from Panel or URL,on,White
448,Tennessee,,,McMinn,Strawberries ,Sugar,Don't have any,Disagree,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Not applicable ,Not Concerned at all,,,,,,Other (Please Specify),Not taking any measures ,8,Neutral,Neutral,Trust,Neutral,Neutral,Strongly Distrust,45 - 54,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",3,None of the above or other,99,50,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6hkQyHHPVQ9r7304Dupu0m,29,,448,anonymous,Value will be set from Panel or URL,on,Black/AA
2395,Mississippi,,Chickasaw,,Sweet potatoes,Soy bean,Rice ,Agree,Agree,Neutral,Pecans,Blackberries,,Muscadine Grapes,,,,,,,,,,,"No, I have never heard of this before.",,,,Social Media,,,,,Not Very Concerned,,,Checking for ticks after spending time outdoors,,,,,7,Trust,Trust,Trust,Neutral,Neutral,Neutral,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",2,Not religious,99,59,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,21qfLdoDBDSuNddmkO6EXX,29,,2395,anonymous,Value will be set from Panel or URL,on,White
523,Arkansas,,,,Rice ,Beans ,Bread ,Neutral,Neutral,Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,News/Media,,,,,,,Somewhat Concerned,,,Checking for ticks after spending time outdoors,,,,,3,Strongly Trust,Strongly Trust,Trust,Strongly Trust,Trust,Neutral,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",1,Atheist/Agnostic,98,30,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6hsKNExoRdppGZY603d4D5,29,,523,anonymous,Value will be set from Panel or URL,on,White
560,Tennessee,,,Montgomery,"Peanuts, Blueberries ",Peanuts,Rice,Disagree,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,News/Media,,,Community Programs or Workshops,,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,9,Distrust,Trust,Neutral,Trust,Distrust,Neutral,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",2,Catholic,160,40,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0AQBEhZpzXbvYUjOXTHRXC,29,,560,anonymous,Value will be set from Panel or URL,on,White
690,Missouri,,,,"Soy beans, corn, wheat",I'm not sure I'd say there's a lot of turkeys from Cargill and Tyson Tyson chickens and a poultry,I wish there was more different kinds of mushrooms edible,Disagree,Disagree,Disagree,,,,,,,Persimmons,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),I'm here in about it from the for the first time,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,10,Distrust,Neutral,Distrust,Trust,Neutral,Trust,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,Protestant,149,52,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5gTEBDNmd71L6xv49lSNbb,29,,690,anonymous,Value will be set from Panel or URL,on,White
294,Missouri,,,,"Corn, wheat, cotton ",Wheat,Soy,Neutral,Neutral,Neutral,,Blackberries,,,,,,Mushrooms,,,,,Wild Herbs,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),N/A,Not Very Concerned,Using insect repellent when outdoors,,,,,,,3,Trust,Neutral,Trust,Trust,Neutral,Distrust,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Not religious,72,20,,,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0OXHSr5dEjScVCG2kMXO8K,29,,294,anonymous,Value will be set from Panel or URL,on,Black/AA
555,Tennessee,,,Campbell,Corn,Wheat ,Potato ,Agree,Agree,Agree,,,,,,,,Mushrooms,,,Wild Nuts,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,Seeking medical advice or consultation about prevention,,,10,Strongly Trust,Trust,Trust,Neutral,Neutral,Strongly Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",1,Protestant,75,7,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)",,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3DMLIZwX7nRsbjgx2gn2KZ,29,,555,anonymous,Value will be set from Panel or URL,on,White
349,Mississippi,,Alcorn,,Corn soybeans ,Catfish ,Potatoes ,Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,5,Neutral,Trust,Trust,Strongly Trust,Trust,Neutral,45 - 54,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",3,None of the above or other,96,102,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3W2rNmMUEt4ro71plDm7Fo,29,,349,anonymous,Value will be set from Panel or URL,on,Black/AA
201,Missouri,,,,"Grains, livestock",Crawfish,"Corn, soybeans",Agree,Agree,Neutral,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,,,,,,Not Very Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Trust,Trust,Trust,Trust,Neutral,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",2,Catholic,124,250,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,Farmers market,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5ur2HQL1iVC7meWPm9b0Wy,29,,201,anonymous,Value will be set from Panel or URL,on,White
240,Arkansas,,,,Many people are ,Good one ,Very good and nice ,Strongly Agree,Agree,Strongly Agree,,,Ramps,,,Mayhaw,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,Cattails,,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,Friends or Family,,,Very Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,9,Strongly Trust,Trust,Strongly Trust,Neutral,Strongly Trust,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","More than $150,000",4,Catholic,236,209,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6525dae0-d529-995f-db6b-94db7dc92d8b,41986902,H,1370,,,,,240,anonymous,Value will be set from Panel or URL,on,
601,Mississippi,,Pike,,Hogs,Catfish ,Cantaloupe ,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,,,Muscadine Grapes,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),N/A,Somewhat Concerned,,,,,Seeking medical advice or consultation about prevention,,,7,Strongly Trust,Trust,Trust,Strongly Trust,Neutral,Neutral,45 - 54,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,75,50,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3Tgmdx04HDyehXslXlifgn,29,,601,anonymous,Value will be set from Panel or URL,on,Black/AA
306,Tennessee,,,Hamilton,tobacco and corn,wheat,don't know,Disagree,Disagree,Disagree,Pecans,Blackberries,,,,,Persimmons,,Sassafras,,,Cattails,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),don't think i have heard this,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Strongly Distrust,Neutral,Distrust,Trust,Neutral,Strongly Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",2,None of the above or other,125,27,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2rr4sZ56ud2tJpiwlQeRN4,29,,306,anonymous,Value will be set from Panel or URL,on,White
366,Arkansas,,,,Burgers,Mississippi mud cake,Don't really care,Strongly Disagree,Strongly Disagree,Strongly Disagree,Pecans,,,,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Never heard of it,Not Concerned at all,,,,,,Other (Please Specify),Nothing,3,Distrust,Neutral,Distrust,Neutral,Strongly Distrust,Strongly Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",2,Protestant,75,10,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0zM5RDrnA3dmijQfgRlYlo,29,,366,anonymous,Value will be set from Panel or URL,on,White
420,Arkansas,,,,"rice,cotton,soybeans",rice,watermelons,Neutral,Neutral,Neutral,,Blackberries,,Muscadine Grapes,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,Friends or Family,,,Neutral,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Neutral,Neutral,Trust,Trust,Strongly Distrust,Distrust,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",2,Protestant,74,30,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,330NHKBm9daDPTduPnpBqL,29,,420,anonymous,Value will be set from Panel or URL,on,White
185,Tennessee,,,Anderson,Service food items ,Food items ,Service produce ,Agree,Agree,Strongly Agree,,,Ramps,,Pawpaws,,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Neutral,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,6,Strongly Trust,Trust,Strongly Trust,Trust,Strongly Trust,Trust,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",6,Protestant,229,175,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1gMG8oYfGE18FRVjzRiWrX,29,,185,anonymous,Value will be set from Panel or URL,on,White
218,Missouri,,,,Corn ,Corn ,Cotton ,Neutral,Agree,Agree,,,,,,,,,,,,Cattails,,,"No, I have never heard of this before.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Somewhat Concerned,,,Checking for ticks after spending time outdoors,,,,,7,Trust,Trust,Distrust,Trust,Distrust,Trust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",2,Protestant,103,167,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,18j8FiAF9snGEONptJEbJy,29,,218,anonymous,Value will be set from Panel or URL,on,White
408,Missouri,,,,Corn,Green Beans,Okra,Agree,Agree,Agree,Pecans,Blackberries,,,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This Survey,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,5,Trust,Trust,Trust,Trust,Neutral,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",4,Protestant,250,152,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,Farmers market,,,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)",,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1Cc6kFL1lzbiYQSfLaKIQD,29,,408,anonymous,Value will be set from Panel or URL,on,White
221,Louisiana,Orleans,,,rice,apple,sugar cane,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,,,,,,,Mushrooms,,,,,,,"No, I have never heard of this before.","Medical professionals (Doctor, Nurse, etc.)",,,,,,,,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,10,Trust,Strongly Trust,Strongly Trust,Trust,Trust,Strongly Trust,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",3,Catholic,152,196,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5f0wW9ey6w0qN3AaLX9Rgt,29,,221,anonymous,Value will be set from Panel or URL,on,White
